attendance_id,staff_id,date,status,hours_worked
A003615,S00362,2026-08-05,Present,7.0
A003616,S00362,2026-08-06,Present,7.3
A003617,S00362,2026-08-07,Present,9.1
A003618,S00362,2026-08-08,Present,7.3
A003619,S00362,2026-08-09,Present,9.1
A003620,S00362,2026-08-10,Present,9.2
A003621,S00363,2026-08-01,Present,9.1
A003622,S00363,2026-08-02,Present,8.6
A003623,S00363,2026-08-03,Present,10.0
A003624,S00363,2026-08-04,Present,8.1
A003625,S00363,2026-08-05,Present,7.1
A003626,S00363,2026-08-06,Present,8.8
A003627,S00363,2026-08-07,Present,10.0
A003628,S00363,2026-08-08,Present,8.3
A003629,S00363,2026-08-09,Absent,0.0
A003630,S00363,2026-08-10,Absent,0.0
A003631,S00364,2026-08-01,Present,9.0
A003632,S00364,2026-08-02,Present,9.3
A003633,S00364,2026-08-03,Present,7.6
A003634,S00364,2026-08-04,Present,8.4
A003635,S00364,2026-08-05,Present,9.6
A003636,S00364,2026-08-06,Half Day,4.4
A003637,S00364,2026-08-07,Present,8.6
A003638,S00364,2026-08-08,Present,9.5
A003639,S00364,2026-08-09,Present,8.7
A003640,S00364,2026-08-10,Present,9.1
A003641,S00365,2026-08-01,Absent,0.0
A003642,S00365,2026-08-02,Present,9.5
A003643,S00365,2026-08-03,Present,7.1
A003644,S00365,2026-08-04,Half Day,4.8
A003645,S00365,2026-08-05,Half Day,3.4
A003646,S00365,2026-08-06,Present,8.9
A003647,S00365,2026-08-07,Present,7.2
A003648,S00365,2026-08-08,Present,9.1
A003649,S00365,2026-08-09,Present,7.2
A003650,S00365,2026-08-10,Present,7.2
A003651,S00366,2026-08-01,Half Day,4.5
A003652,S00366,2026-08-02,Present,7.6
A003653,S00366,2026-08-03,Present,8.8
A003654,S00366,2026-08-04,Half Day,3.6
A003655,S00366,2026-08-05,Present,9.7
A003656,S00366,2026-08-06,Present,8.3
A003657,S00366,2026-08-07,Present,9.0
A003658,S00366,2026-08-08,Present,7.6
A003659,S00366,2026-08-09,Present,8.2
A003660,S00366,2026-08-10,Present,8.0
A003661,S00367,2026-08-01,Present,8.7
A003662,S00367,2026-08-02,Present,9.1
A003663,S00367,2026-08-03,Present,9.9
A003664,S00367,2026-08-04,Present,7.7
A003665,S00367,2026-08-05,Present,9.8
A003666,S00367,2026-08-06,Half Day,3.7
A003667,S00367,2026-08-07,Absent,0.0
A003668,S00367,2026-08-08,Half Day,4.6
A003669,S00367,2026-08-09,Present,7.3
A003670,S00367,2026-08-10,Present,8.8
A003671,S00368,2026-08-01,Present,8.7
A003672,S00368,2026-08-02,Present,7.2
A003673,S00368,2026-08-03,Present,9.1
A003674,S00368,2026-08-04,Present,8.0
A003675,S00368,2026-08-05,Absent,0.0
A003676,S00368,2026-08-06,Present,9.3
A003677,S00368,2026-08-07,Present,8.6
A003678,S00368,2026-08-08,Present,7.0
A003679,S00368,2026-08-09,Present,9.3
A003680,S00368,2026-08-10,Present,9.5
A003681,S00369,2026-08-01,Half Day,3.9
A003682,S00369,2026-08-02,Present,9.7
A003683,S00369,2026-08-03,Present,7.5
A003684,S00369,2026-08-04,Present,7.7
A003685,S00369,2026-08-05,Present,9.1
A003686,S00369,2026-08-06,Present,7.2
A003687,S00369,2026-08-07,Present,8.8
A003688,S00369,2026-08-08,Present,8.5
A003689,S00369,2026-08-09,Present,7.2
A003690,S00369,2026-08-10,Present,7.2
A003691,S00370,2026-08-01,Present,7.8
A003692,S00370,2026-08-02,Present,8.1
A003693,S00370,2026-08-03,Present,9.5
A003694,S00370,2026-08-04,Present,9.5
A003695,S00370,2026-08-05,Present,7.3
A003696,S00370,2026-08-06,Present,9.7
A003697,S00370,2026-08-07,Present,9.6
A003698,S00370,2026-08-08,Present,7.5
A003699,S00370,2026-08-09,Present,7.4
A003700,S00370,2026-08-10,Present,9.5
A003701,S00371,2026-08-01,Present,7.9
A003702,S00371,2026-08-02,Present,10.0
A003703,S00371,2026-08-03,Present,9.9
A003704,S00371,2026-08-04,Present,9.2
A003705,S00371,2026-08-05,Present,9.9
A003706,S00371,2026-08-06,Absent,0.0
A003707,S00371,2026-08-07,Absent,0.0
A003708,S00371,2026-08-08,Present,9.9
A003709,S00371,2026-08-09,Present,9.9
A003710,S00371,2026-08-10,Absent,0.0
A003711,S00372,2026-08-01,Present,9.0
A003712,S00372,2026-08-02,Present,8.8
A003713,S00372,2026-08-03,Present,9.8
A003714,S00372,2026-08-04,Present,7.2
A003715,S00372,2026-08-05,Present,8.1
A003716,S00372,2026-08-06,Present,8.3
A003717,S00372,2026-08-07,Present,7.3
A003718,S00372,2026-08-08,Present,8.5
A003719,S00372,2026-08-09,Present,9.5
A003720,S00372,2026-08-10,Present,7.4
A003721,S00373,2026-08-01,Present,7.6
A003722,S00373,2026-08-02,Present,7.2
A003723,S00373,2026-08-03,Present,7.8
A003724,S00373,2026-08-04,Present,8.0
A003725,S00373,2026-08-05,Present,8.3
A003726,S00373,2026-08-06,Half Day,4.7
A003727,S00373,2026-08-07,Absent,0.0
A003728,S00373,2026-08-08,Absent,0.0
A003729,S00373,2026-08-09,Half Day,4.8
A003730,S00373,2026-08-10,Present,9.7
A003731,S00374,2026-08-01,Present,8.2
A003732,S00374,2026-08-02,Present,8.8
A003733,S00374,2026-08-03,Present,8.5
A003734,S00374,2026-08-04,Present,8.5
A003735,S00374,2026-08-05,Present,7.4
A003736,S00374,2026-08-06,Present,9.6
A003737,S00374,2026-08-07,Present,7.1
A003738,S00374,2026-08-08,Present,9.6
A003739,S00374,2026-08-09,Half Day,3.1
A003740,S00374,2026-08-10,Half Day,3.8
A003741,S00375,2026-08-01,Present,9.3
A003742,S00375,2026-08-02,Present,9.8
A003743,S00375,2026-08-03,Present,8.3
A003744,S00375,2026-08-04,Present,7.2
A003745,S00375,2026-08-05,Present,9.8
A003746,S00375,2026-08-06,Present,8.5
A003747,S00375,2026-08-07,Present,8.4
A003748,S00375,2026-08-08,Present,8.2
A003749,S00375,2026-08-09,Present,8.8
A003750,S00375,2026-08-10,Present,8.8
A003751,S00376,2026-08-01,Present,8.1
A003752,S00376,2026-08-02,Present,7.1
A003753,S00376,2026-08-03,Present,9.4
A003754,S00376,2026-08-04,Present,9.7
A003755,S00376,2026-08-05,Present,9.9
A003756,S00376,2026-08-06,Absent,0.0
A003757,S00376,2026-08-07,Present,9.3
A003758,S00376,2026-08-08,Present,9.1
A003759,S00376,2026-08-09,Present,9.2
A003760,S00376,2026-08-10,Present,7.2
A003761,S00377,2026-08-01,Present,7.0
A003762,S00377,2026-08-02,Present,8.0
A003763,S00377,2026-08-03,Present,8.4
A003764,S00377,2026-08-04,Present,8.0
A003765,S00377,2026-08-05,Present,7.5
A003766,S00377,2026-08-06,Present,7.6
A003767,S00377,2026-08-07,Present,7.5
A003768,S00377,2026-08-08,Absent,0.0
A003769,S00377,2026-08-09,Present,8.8
A003770,S00377,2026-08-10,Present,9.3
A003771,S00378,2026-08-01,Present,7.4
A003772,S00378,2026-08-02,Present,9.2
A003773,S00378,2026-08-03,Half Day,4.2
A003774,S00378,2026-08-04,Present,9.6
A003775,S00378,2026-08-05,Present,7.2
A003776,S00378,2026-08-06,Present,7.6
A003777,S00378,2026-08-07,Present,9.7
A003778,S00378,2026-08-08,Present,9.5
A003779,S00378,2026-08-09,Present,7.7
A003780,S00378,2026-08-10,Present,7.9
A003781,S00379,2026-08-01,Present,7.7
A003782,S00379,2026-08-02,Half Day,3.5
A003783,S00379,2026-08-03,Present,8.9
A003784,S00379,2026-08-04,Present,9.7
A003785,S00379,2026-08-05,Present,7.2
A003786,S00379,2026-08-06,Present,9.2
A003787,S00379,2026-08-07,Present,7.8
A003788,S00379,2026-08-08,Present,8.4
A003789,S00379,2026-08-09,Present,7.2
A003790,S00379,2026-08-10,Present,9.2
A003791,S00380,2026-08-01,Half Day,3.1
A003792,S00380,2026-08-02,Present,7.3
A003793,S00380,2026-08-03,Absent,0.0
A003794,S00380,2026-08-04,Present,10.0
A003795,S00380,2026-08-05,Present,8.5
A003796,S00380,2026-08-06,Present,8.0
A003797,S00380,2026-08-07,Present,7.0
A003798,S00380,2026-08-08,Present,8.4
A003799,S00380,2026-08-09,Present,8.7
A003800,S00380,2026-08-10,Present,8.8
A003801,S00381,2026-08-01,Present,7.6
A003802,S00381,2026-08-02,Half Day,3.6
A003803,S00381,2026-08-03,Present,7.8
A003804,S00381,2026-08-04,Present,7.5
A003805,S00381,2026-08-05,Present,8.0
A003806,S00381,2026-08-06,Present,7.6
A003807,S00381,2026-08-07,Half Day,4.1
A003808,S00381,2026-08-08,Present,9.6
A003809,S00381,2026-08-09,Present,8.4
A003810,S00381,2026-08-10,Present,9.6
A003811,S00382,2026-08-01,Present,7.7
A003812,S00382,2026-08-02,Present,8.9
A003813,S00382,2026-08-03,Present,8.2
A003814,S00382,2026-08-04,Present,9.1
A003815,S00382,2026-08-05,Present,7.8
A003816,S00382,2026-08-06,Present,7.3
A003817,S00382,2026-08-07,Present,9.0
A003818,S00382,2026-08-08,Present,9.8
A003819,S00382,2026-08-09,Present,7.4
A003820,S00382,2026-08-10,Present,8.0
A003821,S00383,2026-08-01,Absent,0.0
A003822,S00383,2026-08-02,Half Day,3.9
A003823,S00383,2026-08-03,Present,7.5
A003824,S00383,2026-08-04,Present,9.0
A003825,S00383,2026-08-05,Present,9.8
A003826,S00383,2026-08-06,Present,9.0
A003827,S00383,2026-08-07,Half Day,4.7
A003828,S00383,2026-08-08,Present,9.9
A003829,S00383,2026-08-09,Present,9.5
A003830,S00383,2026-08-10,Present,9.3
A003831,S00384,2026-08-01,Present,7.5
A003832,S00384,2026-08-02,Present,9.7
A003833,S00384,2026-08-03,Present,7.0
A003834,S00384,2026-08-04,Present,9.2
A003835,S00384,2026-08-05,Present,8.3
A003836,S00384,2026-08-06,Half Day,3.0
A003837,S00384,2026-08-07,Present,9.3
A003838,S00384,2026-08-08,Present,8.7
A003839,S00384,2026-08-09,Present,9.0
A003840,S00384,2026-08-10,Present,9.7
A003841,S00385,2026-08-01,Present,9.6
A003842,S00385,2026-08-02,Present,9.5
A003843,S00385,2026-08-03,Present,7.8
A003844,S00385,2026-08-04,Present,7.5
A003845,S00385,2026-08-05,Present,9.9
A003846,S00385,2026-08-06,Present,9.8
A003847,S00385,2026-08-07,Present,8.4
A003848,S00385,2026-08-08,Present,8.9
A003849,S00385,2026-08-09,Present,7.4
A003850,S00385,2026-08-10,Half Day,5.0
A003851,S00386,2026-08-01,Present,9.4
A003852,S00386,2026-08-02,Present,8.5
A003853,S00386,2026-08-03,Present,7.4
A003854,S00386,2026-08-04,Half Day,4.0
A003855,S00386,2026-08-05,Present,9.4
A003856,S00386,2026-08-06,Present,8.7
A003857,S00386,2026-08-07,Present,9.0
A003858,S00386,2026-08-08,Present,7.6
A003859,S00386,2026-08-09,Present,8.0
A003860,S00386,2026-08-10,Present,9.1
A003861,S00387,2026-08-01,Present,9.8
A003862,S00387,2026-08-02,Present,9.9
A003863,S00387,2026-08-03,Present,7.3
A003864,S00387,2026-08-04,Present,8.0
A003865,S00387,2026-08-05,Present,7.4
A003866,S00387,2026-08-06,Half Day,3.1
A003867,S00387,2026-08-07,Present,7.5
A003868,S00387,2026-08-08,Absent,0.0
A003869,S00387,2026-08-09,Present,7.6
A003870,S00387,2026-08-10,Present,9.0
A003871,S00388,2026-08-01,Absent,0.0
A003872,S00388,2026-08-02,Present,7.3
A003873,S00388,2026-08-03,Present,8.1
A003874,S00388,2026-08-04,Present,9.6
A003875,S00388,2026-08-05,Present,8.7
A003876,S00388,2026-08-06,Present,7.1
A003877,S00388,2026-08-07,Present,8.2
A003878,S00388,2026-08-08,Present,8.6
A003879,S00388,2026-08-09,Present,7.2
A003880,S00388,2026-08-10,Present,8.7
A003881,S00389,2026-08-01,Present,9.1
A003882,S00389,2026-08-02,Absent,0.0
A003883,S00389,2026-08-03,Present,8.8
A003884,S00389,2026-08-04,Present,8.3
A003885,S00389,2026-08-05,Present,7.3
A003886,S00389,2026-08-06,Half Day,5.0
A003887,S00389,2026-08-07,Present,9.8
A003888,S00389,2026-08-08,Present,7.6
A003889,S00389,2026-08-09,Present,8.6
A003890,S00389,2026-08-10,Present,9.9
A003891,S00390,2026-08-01,Present,8.7
A003892,S00390,2026-08-02,Present,9.5
A003893,S00390,2026-08-03,Present,8.1
A003894,S00390,2026-08-04,Present,8.0
A003895,S00390,2026-08-05,Present,9.1
A003896,S00390,2026-08-06,Present,9.4
A003897,S00390,2026-08-07,Present,9.6
A003898,S00390,2026-08-08,Present,9.0
A003899,S00390,2026-08-09,Present,9.0
A003900,S00390,2026-08-10,Present,7.5
A003901,S00391,2026-08-01,Present,7.8
A003902,S00391,2026-08-02,Present,7.8
A003903,S00391,2026-08-03,Present,7.7
A003904,S00391,2026-08-04,Absent,0.0
A003905,S00391,2026-08-05,Present,7.3
A003906,S00391,2026-08-06,Present,9.4
A003907,S00391,2026-08-07,Present,7.0
A003908,S00391,2026-08-08,Present,8.1
A003909,S00391,2026-08-09,Present,8.1
A003910,S00391,2026-08-10,Present,9.9
A003911,S00392,2026-08-01,Present,9.3
A003912,S00392,2026-08-02,Present,7.9
A003913,S00392,2026-08-03,Present,7.3
A003914,S00392,2026-08-04,Present,7.6
A003915,S00392,2026-08-05,Present,7.2
A003916,S00392,2026-08-06,Present,8.4
A003917,S00392,2026-08-07,Present,7.8
A003918,S00392,2026-08-08,Present,8.3
A003919,S00392,2026-08-09,Present,8.1
A003920,S00392,2026-08-10,Present,9.0
A003921,S00393,2026-08-01,Present,9.4
A003922,S00393,2026-08-02,Present,7.6
A003923,S00393,2026-08-03,Absent,0.0
A003924,S00393,2026-08-04,Present,7.6
A003925,S00393,2026-08-05,Present,9.6
A003926,S00393,2026-08-06,Present,9.8
A003927,S00393,2026-08-07,Present,8.4
A003928,S00393,2026-08-08,Present,7.3
A003929,S00393,2026-08-09,Present,8.5
A003930,S00393,2026-08-10,Present,7.1
A003931,S00394,2026-08-01,Present,7.6
A003932,S00394,2026-08-02,Present,9.9
A003933,S00394,2026-08-03,Present,8.1
A003934,S00394,2026-08-04,Present,7.7
A003935,S00394,2026-08-05,Present,9.8
A003936,S00394,2026-08-06,Present,9.7
A003937,S00394,2026-08-07,Present,8.8
A003938,S00394,2026-08-08,Present,7.7
A003939,S00394,2026-08-09,Present,7.7
A003940,S00394,2026-08-10,Present,9.1
A003941,S00395,2026-08-01,Present,9.6
A003942,S00395,2026-08-02,Present,7.6
A003943,S00395,2026-08-03,Absent,0.0
A003944,S00395,2026-08-04,Present,8.3
A003945,S00395,2026-08-05,Present,7.3
A003946,S00395,2026-08-06,Present,9.3
A003947,S00395,2026-08-07,Present,9.5
A003948,S00395,2026-08-08,Present,9.8
A003949,S00395,2026-08-09,Present,7.2
A003950,S00395,2026-08-10,Present,7.7
A003951,S00396,2026-08-01,Present,9.6
A003952,S00396,2026-08-02,Present,9.8
A003953,S00396,2026-08-03,Present,9.4
A003954,S00396,2026-08-04,Present,7.5
A003955,S00396,2026-08-05,Half Day,3.8
A003956,S00396,2026-08-06,Present,8.9
A003957,S00396,2026-08-07,Absent,0.0
A003958,S00396,2026-08-08,Present,9.1
A003959,S00396,2026-08-09,Half Day,3.6
A003960,S00396,2026-08-10,Present,7.8
A003961,S00397,2026-08-01,Present,9.1
A003962,S00397,2026-08-02,Present,8.7
A003963,S00397,2026-08-03,Present,9.8
A003964,S00397,2026-08-04,Half Day,4.4
A003965,S00397,2026-08-05,Present,7.2
A003966,S00397,2026-08-06,Present,7.2
A003967,S00397,2026-08-07,Present,8.3
A003968,S00397,2026-08-08,Present,8.4
A003969,S00397,2026-08-09,Present,9.0
A003970,S00397,2026-08-10,Present,8.4
A003971,S00398,2026-08-01,Present,7.2
A003972,S00398,2026-08-02,Present,9.4
A003973,S00398,2026-08-03,Present,8.6
A003974,S00398,2026-08-04,Half Day,4.3
A003975,S00398,2026-08-05,Present,9.9
A003976,S00398,2026-08-06,Present,9.8
A003977,S00398,2026-08-07,Present,9.7
A003978,S00398,2026-08-08,Present,7.1
A003979,S00398,2026-08-09,Present,9.1
A003980,S00398,2026-08-10,Present,9.7
A003981,S00399,2026-08-01,Present,7.2
A003982,S00399,2026-08-02,Present,7.8
A003983,S00399,2026-08-03,Present,7.2
A003984,S00399,2026-08-04,Present,7.8
A003985,S00399,2026-08-05,Present,7.3
A003986,S00399,2026-08-06,Present,7.5
A003987,S00399,2026-08-07,Present,9.1
A003988,S00399,2026-08-08,Present,8.3
A003989,S00399,2026-08-09,Present,8.9
A003990,S00399,2026-08-10,Present,9.0
A003991,S00400,2026-08-01,Present,7.4
A003992,S00400,2026-08-02,Present,9.4
A003993,S00400,2026-08-03,Present,9.5
A003994,S00400,2026-08-04,Present,7.1
A003995,S00400,2026-08-05,Present,7.3
A003996,S00400,2026-08-06,Present,8.8
A003997,S00400,2026-08-07,Absent,0.0
A003998,S00400,2026-08-08,Present,9.1
A003999,S00400,2026-08-09,Present,7.3
A004000,S00400,2026-08-10,Half Day,4.5
A004001,S00401,2026-08-01,Present,7.0
A004002,S00401,2026-08-02,Present,9.7
A004003,S00401,2026-08-03,Present,7.9
A004004,S00401,2026-08-04,Present,9.1
A004005,S00401,2026-08-05,Half Day,3.2
A004006,S00401,2026-08-06,Present,7.3
A004007,S00401,2026-08-07,Present,9.7
A004008,S00401,2026-08-08,Present,7.4
A004009,S00401,2026-08-09,Half Day,4.2
A004010,S00401,2026-08-10,Present,9.3
A004011,S00402,2026-08-01,Present,9.5
A004012,S00402,2026-08-02,Present,8.3
A004013,S00402,2026-08-03,Present,7.2
A004014,S00402,2026-08-04,Present,7.9
A004015,S00402,2026-08-05,Present,8.3
A004016,S00402,2026-08-06,Present,9.4
A004017,S00402,2026-08-07,Present,7.7
A004018,S00402,2026-08-08,Present,7.1
A004019,S00402,2026-08-09,Absent,0.0
A004020,S00402,2026-08-10,Present,9.7
A004021,S00403,2026-08-01,Present,7.9
A004022,S00403,2026-08-02,Present,8.2
A004023,S00403,2026-08-03,Present,7.7
A004024,S00403,2026-08-04,Present,7.1
A004025,S00403,2026-08-05,Present,8.8
A004026,S00403,2026-08-06,Present,8.0
A004027,S00403,2026-08-07,Present,8.2
A004028,S00403,2026-08-08,Absent,0.0
A004029,S00403,2026-08-09,Present,9.3
A004030,S00403,2026-08-10,Half Day,3.0
A004031,S00404,2026-08-01,Present,9.9
A004032,S00404,2026-08-02,Present,7.6
A004033,S00404,2026-08-03,Absent,0.0
A004034,S00404,2026-08-04,Present,9.4
A004035,S00404,2026-08-05,Present,9.9
A004036,S00404,2026-08-06,Present,7.7
A004037,S00404,2026-08-07,Present,7.3
A004038,S00404,2026-08-08,Present,9.5
A004039,S00404,2026-08-09,Present,8.3
A004040,S00404,2026-08-10,Present,8.1
A004041,S00405,2026-08-01,Present,9.5
A004042,S00405,2026-08-02,Present,7.5
A004043,S00405,2026-08-03,Present,9.9
A004044,S00405,2026-08-04,Absent,0.0
A004045,S00405,2026-08-05,Present,8.1
A004046,S00405,2026-08-06,Present,9.5
A004047,S00405,2026-08-07,Absent,0.0
A004048,S00405,2026-08-08,Present,8.5
A004049,S00405,2026-08-09,Present,8.0
A004050,S00405,2026-08-10,Present,9.0
A004051,S00406,2026-08-01,Present,7.2
A004052,S00406,2026-08-02,Present,7.7
A004053,S00406,2026-08-03,Present,9.7
A004054,S00406,2026-08-04,Present,8.5
A004055,S00406,2026-08-05,Present,8.2
A004056,S00406,2026-08-06,Present,7.4
A004057,S00406,2026-08-07,Present,7.2
A004058,S00406,2026-08-08,Present,8.3
A004059,S00406,2026-08-09,Present,9.0
A004060,S00406,2026-08-10,Present,10.0
A004061,S00407,2026-08-01,Present,7.3
A004062,S00407,2026-08-02,Present,9.0
A004063,S00407,2026-08-03,Present,8.2
A004064,S00407,2026-08-04,Present,9.2
A004065,S00407,2026-08-05,Present,9.6
A004066,S00407,2026-08-06,Present,8.4
A004067,S00407,2026-08-07,Present,9.6
A004068,S00407,2026-08-08,Present,9.3
A004069,S00407,2026-08-09,Present,7.5
A004070,S00407,2026-08-10,Present,7.7
A004071,S00408,2026-08-01,Present,7.5
A004072,S00408,2026-08-02,Present,7.6
A004073,S00408,2026-08-03,Present,8.6
A004074,S00408,2026-08-04,Present,8.6
A004075,S00408,2026-08-05,Present,7.9
A004076,S00408,2026-08-06,Present,7.3
A004077,S00408,2026-08-07,Present,8.5
A004078,S00408,2026-08-08,Present,9.2
A004079,S00408,2026-08-09,Present,9.3
A004080,S00408,2026-08-10,Present,7.0
A004081,S00409,2026-08-01,Present,8.6
A004082,S00409,2026-08-02,Present,8.2
A004083,S00409,2026-08-03,Present,9.2
A004084,S00409,2026-08-04,Present,7.5
A004085,S00409,2026-08-05,Present,9.4
A004086,S00409,2026-08-06,Present,9.4
A004087,S00409,2026-08-07,Present,7.6
A004088,S00409,2026-08-08,Present,9.4
A004089,S00409,2026-08-09,Present,7.3
A004090,S00409,2026-08-10,Present,7.9
A004091,S00410,2026-08-01,Present,9.4
A004092,S00410,2026-08-02,Present,8.3
A004093,S00410,2026-08-03,Present,9.3
A004094,S00410,2026-08-04,Absent,0.0
A004095,S00410,2026-08-05,Present,8.7
A004096,S00410,2026-08-06,Present,7.6
A004097,S00410,2026-08-07,Half Day,4.1
A004098,S00410,2026-08-08,Present,9.9
A004099,S00410,2026-08-09,Present,9.4
A004100,S00410,2026-08-10,Present,8.6
A004101,S00411,2026-08-01,Absent,0.0
A004102,S00411,2026-08-02,Present,9.8
A004103,S00411,2026-08-03,Present,8.9
A004104,S00411,2026-08-04,Half Day,3.3
A004105,S00411,2026-08-05,Present,9.5
A004106,S00411,2026-08-06,Absent,0.0
A004107,S00411,2026-08-07,Present,9.8
A004108,S00411,2026-08-08,Absent,0.0
A004109,S00411,2026-08-09,Present,8.7
A004110,S00411,2026-08-10,Present,8.4
A004111,S00412,2026-08-01,Present,9.6
A004112,S00412,2026-08-02,Present,9.4
A004113,S00412,2026-08-03,Present,7.7
A004114,S00412,2026-08-04,Present,8.7
A004115,S00412,2026-08-05,Present,8.4
A004116,S00412,2026-08-06,Present,8.5
A004117,S00412,2026-08-07,Present,7.5
A004118,S00412,2026-08-08,Present,7.2
A004119,S00412,2026-08-09,Present,8.0
A004120,S00412,2026-08-10,Present,7.9
A004121,S00413,2026-08-01,Present,9.4
A004122,S00413,2026-08-02,Present,9.3
A004123,S00413,2026-08-03,Present,8.1
A004124,S00413,2026-08-04,Present,7.8
A004125,S00413,2026-08-05,Present,9.7
A004126,S00413,2026-08-06,Present,8.8
A004127,S00413,2026-08-07,Half Day,3.7
A004128,S00413,2026-08-08,Present,7.3
A004129,S00413,2026-08-09,Present,9.8
A004130,S00413,2026-08-10,Present,8.5
A004131,S00414,2026-08-01,Present,9.4
A004132,S00414,2026-08-02,Present,10.0
A004133,S00414,2026-08-03,Half Day,4.1
A004134,S00414,2026-08-04,Half Day,3.2
A004135,S00414,2026-08-05,Present,8.9
A004136,S00414,2026-08-06,Present,7.3
A004137,S00414,2026-08-07,Present,8.1
A004138,S00414,2026-08-08,Present,7.6
A004139,S00414,2026-08-09,Present,8.4
A004140,S00414,2026-08-10,Present,8.1
A004141,S00415,2026-08-01,Present,8.4
A004142,S00415,2026-08-02,Half Day,3.1
A004143,S00415,2026-08-03,Absent,0.0
A004144,S00415,2026-08-04,Present,8.1
A004145,S00415,2026-08-05,Present,9.1
A004146,S00415,2026-08-06,Present,8.4
A004147,S00415,2026-08-07,Present,7.6
A004148,S00415,2026-08-08,Absent,0.0
A004149,S00415,2026-08-09,Present,7.6
A004150,S00415,2026-08-10,Present,9.4
A004151,S00416,2026-08-01,Present,7.5
A004152,S00416,2026-08-02,Present,9.3
A004153,S00416,2026-08-03,Half Day,3.7
A004154,S00416,2026-08-04,Present,8.2
A004155,S00416,2026-08-05,Present,7.7
A004156,S00416,2026-08-06,Present,8.8
A004157,S00416,2026-08-07,Present,7.6
A004158,S00416,2026-08-08,Present,9.0
A004159,S00416,2026-08-09,Present,7.5
A004160,S00416,2026-08-10,Present,7.5
A004161,S00417,2026-08-01,Present,9.1
A004162,S00417,2026-08-02,Present,8.3
A004163,S00417,2026-08-03,Present,8.6
A004164,S00417,2026-08-04,Present,7.9
A004165,S00417,2026-08-05,Absent,0.0
A004166,S00417,2026-08-06,Present,7.5
A004167,S00417,2026-08-07,Absent,0.0
A004168,S00417,2026-08-08,Absent,0.0
A004169,S00417,2026-08-09,Present,8.6
A004170,S00417,2026-08-10,Present,8.8
A004171,S00418,2026-08-01,Present,9.8
A004172,S00418,2026-08-02,Present,8.1
A004173,S00418,2026-08-03,Present,7.7
A004174,S00418,2026-08-04,Present,7.2
A004175,S00418,2026-08-05,Present,7.6
A004176,S00418,2026-08-06,Present,8.0
A004177,S00418,2026-08-07,Present,7.7
A004178,S00418,2026-08-08,Present,7.1
A004179,S00418,2026-08-09,Present,7.2
A004180,S00418,2026-08-10,Present,7.8
A004181,S00419,2026-08-01,Present,9.3
A004182,S00419,2026-08-02,Present,7.1
A004183,S00419,2026-08-03,Present,8.0
A004184,S00419,2026-08-04,Present,7.0
A004185,S00419,2026-08-05,Present,8.0
A004186,S00419,2026-08-06,Present,7.6
A004187,S00419,2026-08-07,Present,7.3
A004188,S00419,2026-08-08,Present,7.1
A004189,S00419,2026-08-09,Present,7.4
A004190,S00419,2026-08-10,Present,9.3
A004191,S00420,2026-08-01,Present,9.2
A004192,S00420,2026-08-02,Present,7.8
A004193,S00420,2026-08-03,Present,9.4
A004194,S00420,2026-08-04,Present,9.5
A004195,S00420,2026-08-05,Present,7.8
A004196,S00420,2026-08-06,Present,7.1
A004197,S00420,2026-08-07,Present,7.0
A004198,S00420,2026-08-08,Present,8.2
A004199,S00420,2026-08-09,Present,9.8
A004200,S00420,2026-08-10,Present,7.5
A004201,S00421,2026-08-01,Absent,0.0
A004202,S00421,2026-08-02,Present,9.5
A004203,S00421,2026-08-03,Present,8.1
A004204,S00421,2026-08-04,Present,7.8
A004205,S00421,2026-08-05,Present,8.6
A004206,S00421,2026-08-06,Absent,0.0
A004207,S00421,2026-08-07,Present,7.5
A004208,S00421,2026-08-08,Present,8.9
A004209,S00421,2026-08-09,Present,7.4
A004210,S00421,2026-08-10,Half Day,4.3
A004211,S00422,2026-08-01,Present,7.0
A004212,S00422,2026-08-02,Present,8.8
A004213,S00422,2026-08-03,Present,9.6
A004214,S00422,2026-08-04,Present,8.5
A004215,S00422,2026-08-05,Present,10.0
A004216,S00422,2026-08-06,Present,8.3
A004217,S00422,2026-08-07,Present,9.5
A004218,S00422,2026-08-08,Present,8.6
A004219,S00422,2026-08-09,Present,7.2
A004220,S00422,2026-08-10,Present,9.1
A004221,S00423,2026-08-01,Present,8.7
A004222,S00423,2026-08-02,Present,9.4
A004223,S00423,2026-08-03,Absent,0.0
A004224,S00423,2026-08-04,Present,7.0
A004225,S00423,2026-08-05,Present,7.1
A004226,S00423,2026-08-06,Present,9.9
A004227,S00423,2026-08-07,Present,8.4
A004228,S00423,2026-08-08,Present,8.0
A004229,S00423,2026-08-09,Present,9.4
A004230,S00423,2026-08-10,Present,8.1
A004231,S00424,2026-08-01,Present,7.8
A004232,S00424,2026-08-02,Absent,0.0
A004233,S00424,2026-08-03,Present,8.1
A004234,S00424,2026-08-04,Half Day,3.3
A004235,S00424,2026-08-05,Present,7.3
A004236,S00424,2026-08-06,Present,9.6
A004237,S00424,2026-08-07,Present,7.1
A004238,S00424,2026-08-08,Present,8.1
A004239,S00424,2026-08-09,Present,8.8
A004240,S00424,2026-08-10,Present,7.2
A004241,S00425,2026-08-01,Present,8.1
A004242,S00425,2026-08-02,Present,8.3
A004243,S00425,2026-08-03,Present,7.4
